Run Fitness1 Solution1 Fitness2 Solution2
1 57.8673 029000000021026024 5317.4 079005001019021034
1 5317.4 079005001019021034 484.076 079003001019021034
1 484.076 079003001019021034 57.8673 029000000021026024
1 57.8673 029000000021026024 96132300.0 074002001019000034
1 96132300.0 074002001019000034 9656.0 074002001019000013
1 9656.0 074002001019000013 57.8673 029000000021026024
1 57.8673 029000000021026024 373.784 007005000021009034
1 373.784 007005000021009034 352.91 092005000021009034
1 352.91 092005000021009034 57.8673 029000000021026024
1 57.8673 029000000021026024 61754.9 007002001014021034
1 61754.9 007002001014021034 448.049 007002001014021002
1 448.049 007002001014021002 57.8673 029000000021026024
1 57.8673 029000000021026024 9091.62 092005001007033028
1 9091.62 092005001007033028 1173.07 092003001007033028
1 1173.07 092003001007033028 57.8673 029000000021026024
1 57.8673 029000000021026024 905171000.0 002006002021028028
1 905171000.0 002006002021028028 692.1 081006002021028028
1 692.1 081006002021028028 57.8673 029000000021026024
1 57.8673 029000000021026024 1276.65 079005001031033028
1 1276.65 079005001031033028 918.304 079001001031033028
1 918.304 079001001031033028 57.8673 029000000021026024
1 57.8673 029000000021026024 791.409 092005001043033034
1 791.409 092005001043033034 57.8673 029000000021026024
1 57.8673 029000000021026024 38848.610499999995 079005002007033034
1 38848.610499999995 079005002007033034 38848.610499999995 079005002007033034
1 38848.610499999995 079005002007033034 57.8673 029000000021026024
1 57.8673 029000000021026024 296.042 034001002007033028
1 296.042 034001002007033028 20.9895 025001002007033028
1 20.9895 025001002007033028 20.9895 025001002007033028
1 20.9895 025001002007033028 3498.76 081005001014033028
1 3498.76 081005001014033028 3141.84 081005001014028028
1 3141.84 081005001014028028 20.9895 025001002007033028
1 20.9895 025001002007033028 25014.3 079004002014021028
1 25014.3 079004002014021028 1699.01 079004002014021043
1 1699.01 079004002014021043 20.9895 025001002007033028
1 20.9895 025001002007033028 52136.0 079003001019021032
1 52136.0 079003001019021032 49952.5 079003002019021032
1 49952.5 079003002019021032 20.9895 025001002007033028
1 20.9895 025001002007033028 488.5 029001001031009028
1 488.5 029001001031009028 485.222 049001001031009028
1 485.222 049001001031009028 20.9895 025001002007033028
1 20.9895 025001002007033028 9653.574999999999 029001002007033028
1 9653.574999999999 029001002007033028 1798.59 029001002007017028
1 1798.59 029001002007017028 20.9895 025001002007033028
1 20.9895 025001002007033028 15356.6 029001001014028034
1 15356.6 029001001014028034 52.2046 029001000014028034
1 52.2046 029001000014028034 20.9895 025001002007033028
1 20.9895 025001002007033028 414.743 029004000014033034
1 414.743 029004000014033034 15387.759333333332 029001000014033034
1 15387.759333333332 029001000014033034 20.9895 025001002007033028
1 20.9895 025001002007033028 3322.52 007001001031009034
1 3322.52 007001001031009034 272.003 007001001031009041
1 272.003 007001001031009041 20.9895 025001002007033028
1 20.9895 025001002007033028 17575.361999999997 029005000021009034
1 17575.361999999997 029005000021009034 202.672 029005000021009026
1 202.672 029005000021009026 20.9895 025001002007033028
1 20.9895 025001002007033028 671.396 007005002014009028
1 671.396 007005002014009028 235.059 007000002014009028
1 235.059 007000002014009028 20.9895 025001002007033028
1 20.9895 025001002007033028 2036.47 029001002014009028
1 2036.47 029001002014009028 263.581 029001002014020028
1 263.581 029001002014020028 20.9895 025001002007033028
1 20.9895 025001002007033028 21889.1 029001001031028034
1 21889.1 029001001031028034 539.605 029002001031028034
1 539.605 029002001031028034 20.9895 025001002007033028
