Run Fitness1 Solution1 Fitness2 Solution2
1 5.11834 019000000004020005 2027004500.0 027005001012024004
1 2027004500.0 027005001012024004 2027004500.0 027005001012024004
1 2027004500.0 027005001012024004 5.11834 019000000004020005
1 5.11834 019000000004020005 5927690000.0 022004000008008001
1 5927690000.0 022004000008008001 15052900.0 022004000008008008
1 15052900.0 022004000008008008 5.11834 019000000004020005
1 5.11834 019000000004020005 14082800000.0 028005001001004002
1 14082800000.0 028005001001004002 20189.5 020005001001004002
1 20189.5 020005001001004002 5.11834 019000000004020005
1 5.11834 019000000004020005 15824.6 001004002001014008
1 15824.6 001004002001014008 9877.55 004004002001014008
1 9877.55 004004002001014008 5.11834 019000000004020005
1 5.11834 019000000004020005 15806.1 025001000018012005
1 15806.1 025001000018012005 69.8955 025001000021012005
1 69.8955 025001000021012005 5.11834 019000000004020005
1 5.11834 019000000004020005 240788.0 017001000023019004
1 240788.0 017001000023019004 27103.5 017001000011019004
1 27103.5 017001000011019004 5.11834 019000000004020005
1 5.11834 019000000004020005 4410190000.0 012000002018012000
1 4410190000.0 012000002018012000 34047.9 012000002018016000
1 34047.9 012000002018016000 5.11834 019000000004020005
1 5.11834 019000000004020005 43501.1 013002001023000000
1 43501.1 013002001023000000 25901.2 013002001016000000
1 25901.2 013002001016000000 5.11834 019000000004020005
1 5.11834 019000000004020005 412976.0 025000000016013007
1 412976.0 025000000016013007 381872.0 008000000016013007
1 381872.0 008000000016013007 5.11834 019000000004020005
1 5.11834 019000000004020005 1262890.0 014000000001014002
1 1262890.0 014000000001014002 1007810.0 014000000001012002
1 1007810.0 014000000001012002 5.11834 019000000004020005
1 5.11834 019000000004020005 2054970.45 012000002001017006
1 2054970.45 012000002001017006 2054970.45 012000002001017006
1 2054970.45 012000002001017006 5.11834 019000000004020005
1 5.11834 019000000004020005 24853.8 004000001008008008
1 24853.8 004000001008008008 12987.1 004000001010008008
1 12987.1 004000001010008008 5.11834 019000000004020005
1 5.11834 019000000004020005 1112070.0 003001002021020006
1 1112070.0 003001002021020006 828202.0 003001002021020009
1 828202.0 003001002021020009 5.11834 019000000004020005
1 5.11834 019000000004020005 8703340.0 019002001021020009
1 8703340.0 019002001021020009 21117.9 019002001021004009
1 21117.9 019002001021004009 5.11834 019000000004020005
1 5.11834 019000000004020005 56514.1 020006000018008001
1 56514.1 020006000018008001 4842.11 020004000018008001
1 4842.11 020004000018008001 5.11834 019000000004020005
1 5.11834 019000000004020005 1458810.0 001003002016010006
1 1458810.0 001003002016010006 853435.0 001003002016016006
1 853435.0 001003002016016006 5.11834 019000000004020005
1 5.11834 019000000004020005 4393480.0 012001001021004005
1 4393480.0 012001001021004005 20686.6 012001001024004005
1 20686.6 012001001024004005 5.11834 019000000004020005
1 5.11834 019000000004020005 3972870.0 020001000021015000
1 3972870.0 020001000021015000 2188770.0 020001000021024000
1 2188770.0 020001000021024000 5.11834 019000000004020005
1 5.11834 019000000004020005 54318.8 013002002004004003
1 54318.8 013002002004004003 52412.8 013000002004004003
1 52412.8 013000002004004003 5.11834 019000000004020005
1 5.11834 019000000004020005 507654.0 001000001001023009
1 507654.0 001000001001023009 59.9065 001000000001023009
1 59.9065 001000000001023009 5.11834 019000000004020005
