Run Fitness1 Solution1 Fitness2 Solution2
1 15.4095 005001000010001002 2157510000.0 014000001000006000
1 2157510000.0 014000001000006000 9747.34 014001001000006000
1 9747.34 014001001000006000 15.4095 005001000010001002
1 15.4095 005001000010001002 66317800000.0 014000002000007003
1 66317800000.0 014000002000007003 142.237 014003002000007003
1 142.237 014003002000007003 15.4095 005001000010001002
1 15.4095 005001000010001002 14454500.0 005004001004003002
1 14454500.0 005004001004003002 497.379 005004001004002002
1 497.379 005004001004002002 15.4095 005001000010001002
1 15.4095 005001000010001002 44759500000000.0 000001000003001000
1 44759500000000.0 000001000003001000 460012000.0 000001000003004000
1 460012000.0 000001000003004000 15.4095 005001000010001002
1 15.4095 005001000010001002 33739400000.0 014005002011012001
1 33739400000.0 014005002011012001 5483.09 014005002001012001
1 5483.09 014005002001012001 15.4095 005001000010001002
1 15.4095 005001000010001002 4889.73 014003001009003004
1 4889.73 014003001009003004 239.369 001003001009003004
1 239.369 001003001009003004 15.4095 005001000010001002
1 15.4095 005001000010001002 4283.92 011004002007009001
1 4283.92 011004002007009001 1585.9 011005002007009001
1 1585.9 011005002007009001 15.4095 005001000010001002
1 15.4095 005001000010001002 566409000.0 012000001011007001
1 566409000.0 012000001011007001 8639.33 012002001011007001
1 8639.33 012002001011007001 15.4095 005001000010001002
1 15.4095 005001000010001002 2038.0 004006001010008000
1 2038.0 004006001010008000 200.181 004006002010008000
1 200.181 004006002010008000 15.4095 005001000010001002
1 15.4095 005001000010001002 2044.64 002001000011011000
1 2044.64 002001000011011000 220.893 002001001011011000
1 220.893 002001001011011000 15.4095 005001000010001002
1 15.4095 005001000010001002 45.3116 013005000004002000
1 45.3116 013005000004002000 15.4095 005001000010001002
1 15.4095 005001000010001002 3392.59 002002000009000000
1 3392.59 002002000009000000 130.991 002002000009000001
1 130.991 002002000009000001 15.4095 005001000010001002
1 15.4095 005001000010001002 395.467 004000001011008001
1 395.467 004000001011008001 104.671 004000000011008001
1 104.671 004000000011008001 15.4095 005001000010001002
1 15.4095 005001000010001002 268883.0 002005000007003001
1 268883.0 002005000007003001 111888.0 002003000007003001
1 111888.0 002003000007003001 15.4095 005001000010001002
1 15.4095 005001000010001002 361562.0 012000001003011000
1 361562.0 012000001003011000 147.538 001000001003011000
1 147.538 001000001003011000 15.4095 005001000010001002
1 15.4095 005001000010001002 265783000.0 007005001010007000
1 265783000.0 007005001010007000 112783000.0 007005001012007000
