Run Fitness1 Solution1 Fitness2 Solution2
1 226.526 002005001010020018 2033.38 031001001035015031
1 2033.38 031001001035015031 281.786 031004001035015031
1 281.786 031004001035015031 226.526 002005001010020018
1 226.526 002005001010020018 32273.1 050001000035035036
1 32273.1 050001000035035036 19887.0 050005000035035036
1 19887.0 050005000035035036 226.526 002005001010020018
1 226.526 002005001010020018 779.462 050000001035015031
1 779.462 050000001035015031 467.609 050000001035029031
1 467.609 050000001035029031 226.526 002005001010020018
1 226.526 002005001010020018 466.679 050000001005040031
1 466.679 050000001005040031 226.526 002005001010020018
1 226.526 002005001010020018 21144.0 050000001025040018
1 21144.0 050000001025040018 19565.7 050005001025040018
1 19565.7 050005001025040018 226.526 002005001010020018
1 226.526 002005001010020018 918945.0 078001001015035031
1 918945.0 078001001015035031 502.114 078001001011035031
1 502.114 078001001011035031 226.526 002005001010020018
1 226.526 002005001010020018 590.255 078000001011035031
1 590.255 078000001011035031 455.132 078004001011035031
1 455.132 078004001011035031 226.526 002005001010020018
1 226.526 002005001010020018 4237.17 050005001005035018
1 4237.17 050005001005035018 1012.22 050005001005003018
1 1012.22 050005001005003018 226.526 002005001010020018
1 226.526 002005001010020018 451.685 078004001010030031
1 451.685 078004001010030031 389.075 008004001010030031
1 389.075 008004001010030031 226.526 002005001010020018
1 226.526 002005001010020018 243.763 031000001011030031
1 243.763 031000001011030031 226.526 002005001010020018
1 226.526 002005001010020018 645.9535000000001 050000001035030031
1 645.9535000000001 050000001035030031 645.9535000000001 050000001035030031
1 645.9535000000001 050000001035030031 226.526 002005001010020018
1 226.526 002005001010020018 543.3065 031000001025030031
1 543.3065 031000001025030031 331.146 031000001007030031
1 331.146 031000001007030031 226.526 002005001010020018
1 226.526 002005001010020018 35089.95 031005000035030031
1 35089.95 031005000035030031 35089.95 031005000035030031
1 35089.95 031005000035030031 226.526 002005001010020018
1 226.526 002005001010020018 14567.2 031000001010030031
1 14567.2 031000001010030031 297.603 031000001039030031
1 297.603 031000001039030031 226.526 002005001010020018
1 226.526 002005001010020018 18586.6 008000001039020031
1 18586.6 008000001039020031 14633.3 008000001039010031
1 14633.3 008000001039010031 226.526 002005001010020018
1 226.526 002005001010020018 543.3065 031000001025030031
1 543.3065 031000001025030031 612.493 031000001025023031
1 612.493 031000001025023031 226.526 002005001010020018
1 226.526 002005001010020018 17367.992002777777 031000000025020031
1 17367.992002777777 031000000025020031 2737.72339 031000000025020011
1 2737.72339 031000000025020011 2737.72339 031000000025020011
1 2737.72339 031000000025020011 10169.989 031000000025030031
1 10169.989 031000000025030031 3360.06 031000000025030023
1 3360.06 031000000025030023 2737.72339 031000000025020011
1 2737.72339 031000000025020011 457.981 031000000010020031
1 457.981 031000000010020031 402.221 030000000010020031
1 402.221 030000000010020031 2737.72339 031000000025020011
1 2737.72339 031000000025020011 193.185 030000000025020031
1 193.185 030000000025020031 2737.72339 031000000025020011
1 2737.72339 031000000025020011 25046.0 031005000010015018
1 25046.0 031005000010015018 582.542 049005000010015018
1 582.542 049005000010015018 2737.72339 031000000025020011
1 2737.72339 031000000025020011 30080.8 031000000011030031
1 30080.8 031000000011030031 551.682 031000000011010031
1 551.682 031000000011010031 2737.72339 031000000025020011
1 2737.72339 031000000025020011 13692.4945 031000000025010031
1 13692.4945 031000000025010031 17302.712833333335 031004000025010031
