Run Fitness1 Solution1 Fitness2 Solution2
1 89.5625 008000001003000005 418.939 000002002006008002
1 418.939 000002002006008002 123.248 000002002006008005
1 123.248 000002002006008005 89.5625 008000001003000005
1 89.5625 008000001003000005 1906.37 003004002007007003
1 1906.37 003004002007007003 14.3518 003004000007007003
1 14.3518 003004000007007003 14.3518 003004000007007003
1 14.3518 003004000007007003 729845000000.0 016002002003008005
1 729845000000.0 016002002003008005 4.75135 016002000003008005
1 4.75135 016002000003008005 4.75135 016002000003008005
1 4.75135 016002000003008005 799.688 003002002007001005
1 799.688 003002002007001005 119.901 005002002007001005
1 119.901 005002002007001005 4.75135 016002000003008005
1 4.75135 016002000003008005 3762.38 003002000003010002
1 3762.38 003002000003010002 5.25591 007002000003010002
1 5.25591 007002000003010002 4.75135 016002000003008005
1 4.75135 016002000003008005 11861.6 003002002007008002
1 11861.6 003002002007008002 94.9722 003002000007008002
1 94.9722 003002000007008002 4.75135 016002000003008005
1 4.75135 016002000003008005 430894.0 010004002001007006
1 430894.0 010004002001007006 3857.27 010004002001009006
1 3857.27 010004002001009006 4.75135 016002000003008005
1 4.75135 016002000003008005 2397.975 000002000007012002
1 2397.975 000002000007012002 334.099 000002001007012002
1 334.099 000002001007012002 4.75135 016002000003008005
1 4.75135 016002000003008005 3499.31 000001000007007005
1 3499.31 000001000007007005 3499.31 000001000007007005
1 3499.31 000001000007007005 4.75135 016002000003008005
1 4.75135 016002000003008005 6661.4 016004001003000002
1 6661.4 016004001003000002 5579.67 016004001003007002
1 5579.67 016004001003007002 4.75135 016002000003008005
1 4.75135 016002000003008005 3794.65 003002002007010005
1 3794.65 003002002007010005 1941.43 003002002007005005
1 1941.43 003002002007005005 4.75135 016002000003008005
1 4.75135 016002000003008005 3607.182075 003001000007012002
1 3607.182075 003001000007012002 17.7226 003001000002012002
1 17.7226 003001000002012002 4.75135 016002000003008005
1 4.75135 016002000003008005 2656.945 003006000006008005
1 2656.945 003006000006008005 2656.945 003006000006008005
1 2656.945 003006000006008005 4.75135 016002000003008005
1 4.75135 016002000003008005 368.926 008001002002012002
1 368.926 008001002002012002 4.75135 016002000003008005
1 4.75135 016002000003008005 4494.66 000001002003001005
1 4494.66 000001002003001005 245.909 000001002003001002
1 245.909 000001002003001002 4.75135 016002000003008005
1 4.75135 016002000003008005 3814.15 003002000003012002
1 3814.15 003002000003012002 101.847 003005000003012002
1 101.847 003005000003012002 4.75135 016002000003008005
1 4.75135 016002000003008005 2397.975 000002000007012002
1 2397.975 000002000007012002 82.7365 000003000007012002
1 82.7365 000003000007012002 4.75135 016002000003008005
1 4.75135 016002000003008005 264.989 003002000001012005
1 264.989 003002000001012005 96.4259 003002000001006005
1 96.4259 003002000001006005 4.75135 016002000003008005
1 4.75135 016002000003008005 19.4511 000002001007001002
1 19.4511 000002001007001002 4.75135 016002000003008005
1 4.75135 016002000003008005 202.252 000002001003012005
1 202.252 000002001003012005 168.844 000002001003011005
1 168.844 000002001003011005 4.75135 016002000003008005
